House_ID,Neighborhood,Square_Feet,Bedrooms,Bathrooms,Year_Built,Year_Renovated,Condition,Sold_Price
H-1252,Golden Ridge,"2,703",4,2,1985,2024,7,937503.9528206382
H-0768,Sunny Valley,2579 sqft,5,1,2020,1990,7,722197.6501438352
H-0302,Maplewood,-61,5,3,1986,2007,8,142855.72184138882
H-1382,Industrial District,4024,6,3,1975,2022,3,701659.5123271709
H-1052,Industrial District,"1,517",5,1,1976,2013,5,334641.98979440384
H-0036,Gilden Ridge,2212,3,3,2001,2019,3,574518.7089785413
H-0383,Swamp Bottom,"1,685",3,4,2020,1990,8,222874.83802760346
H-1980,Sunny Valley,1322 sqft,6,2,2016,2015,4,394800.55782975757
H-1096,Sunny Valley,1893,6,4,2003,2017,8,583641.5388331297
H-1356,Industrial District,1176 sqft,4,1,2011,2015,7,284325.83515993645
H-0147,Swamp Botom,1406,5,1,1997,2022,1,316718.24059864896
H-0293,Sunny Valley,2856 sqft,7,3,1989,2013,8,811579.1124190041
H-0942,Maplewood,4232,2,4,2010,2024,9,901239.0335418148
H-0441,Industrial District,2962,5,2,1966,2009,9,510439.1283222726
H-1799,Golden Ridge,1933,4,4,2020,2015,2,630703.9979575789
H-0385,Swamp Bottom,1935 sqft,6,2,2020,2008,5,269455.84043566196
H-1172,Maplewood,1443 sqft,7,2,1961,2010,2,394253.0047337243
H-1378,Sunny Valley,"3,532",2,1,1983,1997,6,882441.1834315625
H-0494,Maplewood,"1,736",3,1,2020,1995,7,416979.784624822
H-0141,Swamp Botom,"2,360",6,1,1987,2011,1,656366.4618652066
H-0474,Maplewood,"2,482",4,3,1977,2013,4,570834.7398536393
H-1643,Maplewood,3235 sqft,3,4,1981,2021,6,632879.7977976819
H-0549,Swamp Bottom,2777 sqft,2,4,1990,1998,1,
H-1239,Sunny Valley,2258 sqft,3,3,1983,1999,1,569365.7934522205
H-1817,Swamp Bottom,2468,2,2,1983,2004,2,236556.27430419353
H-1629,Maplewood,2700,2,4,2023,1998,10,575749.665980716
H-0009,Gilden Ridge,433 sqft,7,1,1992,2018,1,0.0
H-0078,Gilden Ridge,1816 sqft,6,2,1983,2002,8,590949.2218728155
H-1162,Sunny Valley,2191,4,1,2013,2006,3,554661.0457646173
H-1785,Swamp Bottom,1937 sqft,7,4,1971,2005,2,231307.9457586405
H-1181,Sunny Valley,2667,7,3,1998,2006,7,781088.8404250861
H-1108,Maplewood,3085,5,4,1989,1990,4,710180.4908917487
H-1668,Golden Ridge,"2,186",2,1,1968,2010,5,724740.0000627255
H-1444,Swamp Bottom,2219,5,1,2017,1995,8,262150.2502090191
H-1538,Sunny Valley,1465 sqft,2,2,2008,2015,6,457150.77544763254
H-1694,Sunny Valley,"2,751",2,4,1961,2015,3,675751.2053695954
H-1585,Golden Ridge,1468 sqft,6,3,1998,2002,8,598072.5230626613
H-0337,Maplewood,1935,5,1,1966,2013,8,493995.9043140795
H-0455,Maplewood,2258,6,4,1986,1990,5,550517.4981887682
H-1279,Maplewood,2596,5,1,2022,2000,5,623834.6283311943
H-0843,Industrial District,2438,6,2,1961,2015,10,475913.1873699763
H-1186,Maplewood,1987,4,3,1971,2005,8,457182.66448308947
H-1654,Golden Ridge,"2,412",2,3,2023,2008,4,759910.201921496
H-1777,Sunny Valley,3672 sqft,6,2,1984,2024,2,925692.206458008
H-0896,Sunny Valley,"2,086",7,4,1974,2003,8,683578.91282924
H-1141,Sunny Valley,2335 sqft,2,1,1991,2019,2,585287.2784171831
H-0957,Golden Ridge,"2,729",6,1,2017,2008,10,1063688.368770097
H-1845,Sunny Valley,1776,2,2,1963,2019,9,456308.87550376996
H-1224,Sunny Valley,1488,4,1,1969,2012,4,412223.15946356783
H-0666,Sunny Valley,4109,2,1,1989,1997,3,978460.265890819
H-0504,Maplewood,3207 sqft,3,2,1966,1997,5,
H-0047,Gilden Ridge,2718 sqft,6,1,2017,2000,10,663244.8312376743
H-0823,Sunny Valley,801,2,4,1978,2014,4,269642.6581542788
H-1960,Golden Ridge,1224 sqft,6,3,1981,1997,1,513154.9117177788
H-1905,Sunny Valley,2979,2,3,1977,2020,8,764387.0435257008
H-0928,Maplewood,1901,2,1,1998,2021,9,431018.15722817846
H-0634,Golden Ridge,1869 sqft,7,1,2008,2020,4,727797.3396853036
H-1534,Sunny Valley,2420,4,4,2012,2002,10,654418.6310769344
H-0416,Sunny Valley,1773 sqft,2,2,1986,2024,3,412706.1666391197
H-1305,Swamp Bottom,"1,323",5,2,2006,2020,9,204220.3199539216
H-1370,Industrial District,1461 sqft,6,3,1960,2008,9,308518.4685658014
H-1241,Swamp Bottom,"2,482",6,3,2017,1994,6,262748.9765348854
H-0407,Golden Ridge,"3,433",7,2,1993,2005,9,1266631.024004822
H-1138,Maplewood,244,4,3,2003,2014,6,125747.17259140537
H-1416,Golden Ridge,1698,6,3,2014,2021,10,774758.7882174433
H-1158,Swamp Bottom,764,7,2,2018,2014,6,193103.79026722448
H-0772,Golden Ridge,2481 sqft,4,4,1965,2007,4,853753.5424415362
H-1055,Sunny Valley,2654 sqft,2,1,1995,2016,7,656808.0932491446
H-1770,Maplewood,2206 sqft,7,1,1992,2024,10,631920.7195629629
H-0381,Maplewood,"3,257",4,3,1967,2000,6,706615.0734482495
H-0212,Maplewood,"1,910",5,1,1978,2020,7,512706.2443354846
H-0174,Swamp Botom,2425,4,1,2020,1990,6,567508.7849942985
H-0867,Sunny Valley,"2,030",2,4,1963,1990,1,532893.2975648863
H-1903,Golden Ridge,1406 sqft,6,2,1983,1991,5,602659.5386855464
H-1361,Sunny Valley,2201,6,2,2012,1992,5,674692.0095369618
H-1814,Golden Ridge,2973 sqft,6,2,1973,2003,3,1030271.680616447
H-0496,Maplewood,"1,996",2,3,1999,1998,9,501729.26446970616
H-0760,Sunny Valley,983,4,4,1998,1998,2,288304.2123710969
H-0248,Industrial District,2028,4,1,1961,1998,10,439797.5551432136
H-0812,Golden Ridge,1662 sqft,4,4,2011,2000,6,691047.2639023096
H-1658,Sunny Valley,2399,2,2,1983,1999,6,595023.9055089009
H-0578,Maplewood,"1,452",5,3,1974,2019,4,
H-1747,Sunny Valley,2768 sqft,2,3,2014,1996,5,644879.0930499276
H-0735,Swamp Bottom,1040,6,2,1963,2022,10,192159.55283749555
H-0411,Industrial District,2852,7,3,1977,2015,10,542402.7052498397
H-1725,Golden Ridge,1829,5,2,2012,1991,6,713711.770037231
H-0268,Sunny Valley,1149,4,2,1999,2018,5,428193.9569484355
H-0811,Swamp Bottom,"2,015",7,4,1969,2009,1,252418.49066650297
H-1827,Industrial District,1083 sqft,2,2,1979,2012,2,193043.35594581242
H-0214,Maplewood,1052,4,2,1984,2002,8,295974.5086416543
H-0770,Golden Ridge,3406,5,2,2003,1992,5,1176132.6505835445
H-0973,Sunny Valley,1940,5,2,1978,2001,8,580755.2670162118
H-1684,Golden Ridge,1463,2,4,1990,2002,1,430806.27721951506
H-0968,Maplewood,"1,519",2,3,2004,1995,9,314169.11745725333
H-0493,Sunny Valley,2391 sqft,5,1,1975,2016,1,626459.1669878907
H-0838,Maplewood,"1,330",5,3,2013,2005,5,347128.6532722666
H-1701,Sunny Valley,"1,661",6,1,2020,2021,1,487649.0771439396
H-0616,Golden Ridge,2495,3,4,1974,1996,1,794979.2637492117
H-1796,Maplewood,2403,5,4,1984,2021,4,548319.0116761778
H-0090,Gilden Ridge,2153 sqft,7,2,2002,1997,9,869314.9080742392
H-0800,Maplewood,2354 sqft,3,1,1992,2016,9,589276.630271498
H-1993,Golden Ridge,3314,7,2,1970,2005,10,1250262.409000017
H-0374,Golden Ridge,"3,602",2,3,1993,1991,8,1205930.5330248834
H-0913,Sunny Valley,1395,6,1,2002,2012,8,505518.1897915681
H-0723,Maplewood,"1,451",4,2,1973,2002,1,348437.3689519901
H-1307,Swamp Bottom,"1,668",3,4,2014,1992,2,200407.39110551542
H-1819,Sunny Valley,485 sqft,7,2,1984,2022,6,272931.3091095139
H-1793,Maplewood,454,6,4,1965,1990,1,139711.11250893975
H-0288,Sunny Valley,"1,634",4,4,1994,2005,10,496361.3090473067
H-0280,Swamp Bottom,1328,5,3,2017,2014,10,239043.24580664246
H-0783,Sunny Valley,"1,641",4,2,2018,2018,8,479313.0875527648
H-0873,Sunny Valley,2868 sqft,6,2,1999,2012,2,707679.3900392328
H-0920,Swamp Bottom,3404,2,3,1987,2011,9,351966.86687762203
H-0765,Maplewood,1791,7,3,1985,1997,10,465754.91912297904
H-0716,Swamp Bottom,2141 sqft,5,4,1985,2009,10,292422.1462303541
H-1636,Sunny Valley,"2,143",3,1,1971,2007,9,590561.3652510521
H-1465,Golden Ridge,"1,081",5,4,2021,2021,5,498625.58821826335
H-1646,Golden Ridge,1472 sqft,7,3,2005,2012,7,697759.276400823
H-1553,Swamp Bottom,2864 sqft,7,4,1978,2018,5,353308.7889313744
H-1332,Sunny Valley,"2,302",5,3,1996,1993,9,668191.147327261
H-0830,Sunny Valley,2933,7,3,1993,1997,9,823987.4402462627
H-0754,Golden Ridge,2419,4,2,1967,1991,1,823490.9689818363
H-0755,Swamp Bottom,2649,2,1,1995,2011,6,284098.8294081189
H-1514,Sunny Valley,"3,277",5,3,1961,2002,6,860304.4571608163
H-0382,Maplewood,"2,383",2,3,2013,1990,8,544567.895427196
H-1190,Golden Ridge,2657,4,1,2004,2002,6,928048.7024992768
H-1180,Industrial District,1588,4,1,1971,1991,7,314172.1455571043
H-0246,Sunny Valley,924 sqft,4,1,1979,2019,3,327231.3542545874
H-1816,Sunny Valley,"2,817",5,4,2017,2012,5,714748.1921635454
H-0011,Gilden Ridge,"2,170",2,4,1986,2022,10,423466.7743631753
H-0974,Golden Ridge,"2,101",6,1,2003,2008,7,805743.8577569833
H-1559,Industrial District,1614,2,2,2021,1999,8,255095.27830498
H-0183,Swamp Botom,2096 sqft,5,3,1980,1996,4,246110.3497917106
H-0829,Maplewood,1235,7,4,1983,2014,5,345610.4508490897
H-0910,Maplewood,"1,164",2,3,2020,1993,7,321553.049492339
H-1495,Maplewood,2564,2,4,1992,2016,2,499586.2886138845
H-1063,Sunny Valley,912,5,4,1983,2000,5,317665.0303082107
H-1737,Sunny Valley,1571 sqft,3,1,1974,2005,2,441870.77653291763
H-1385,Sunny Valley,1101 sqft,7,4,1975,2009,8,468591.26920882205
H-1594,Maplewood,"2,487",4,1,2009,2002,3,542160.4285487093
H-1439,Maplewood,3130,7,1,2008,2005,5,710646.4568208308
H-1155,Swamp Bottom,"1,515",5,3,1983,1996,1,171203.72691289117
H-1204,Maplewood,590,2,4,2009,2000,6,210508.44850116046
H-1500,Maplewood,1707,2,1,1989,2023,3,367433.6921563086
H-0157,Swamp Botom,"1,922",4,2,1985,2019,1,189975.7855923113
H-1000,Sunny Valley,2923 sqft,7,2,2002,1990,8,822907.5411465142
H-0477,Maplewood,330,4,4,1973,2008,8,180525.46491879405
H-1502,Golden Ridge,2503 sqft,4,3,1985,2006,1,816809.3348414701
H-0017,Gilden Ridge,"2,949",3,3,2021,1999,10,0.0
H-0624,Maplewood,"1,460",3,4,2012,2002,10,398409.2564710488
H-0163,Swamp Botom,1677,5,4,2002,2016,10,455889.97078435536
H-1363,Maplewood,2292 sqft,5,1,1961,2022,3,526637.7856167123
H-1716,Golden Ridge,3036,3,4,1984,1993,7,1029921.8127499133
H-0135,Swamp Botom,959,5,1,1978,2009,6,390062.0902492189
H-1315,Maplewood,1874 sqft,2,1,1970,2023,1,383592.47962637705
H-0944,Sunny Valley,"1,957",5,3,2014,2021,10,595678.8316001762
H-0950,Maplewood,469,6,1,2020,1990,3,197377.10633042303
H-0872,Maplewood,1438 sqft,6,3,1982,2006,7,401762.67820964655
H-1984,Golden Ridge,1563 sqft,4,1,2012,2023,1,549751.971913518
H-1034,Golden Ridge,1903 sqft,3,3,2011,1998,8,684733.0148984095
H-0540,Industrial District,1050,4,4,1994,2023,1,
H-0965,Sunny Valley,1971 sqft,5,4,1996,2017,8,557020.5625746261
H-1452,Swamp Bottom,1522 sqft,6,3,1988,1992,10,210233.71626417997
H-0653,Maplewood,"1,977",6,2,1965,1991,2,455156.11389868427
H-0517,Swamp Bottom,2181 sqft,5,3,1960,1990,5,
H-1397,Sunny Valley,"1,723",5,4,1966,1997,3,515097.68232357956
H-0871,Sunny Valley,509,6,2,1996,2015,6,309079.82045032847
H-1231,Sunny Valley,2937,7,3,1987,2001,6,785071.147885921
H-1766,Maplewood,1500 sqft,6,3,1982,2005,5,394563.90161550057
H-0762,Sunny Valley,1886,2,1,1966,2012,10,513292.53246141
H-0544,Maplewood,"2,148",7,4,2000,2017,10,
H-0794,Golden Ridge,974 sqft,7,4,1984,2012,8,526194.7570288269
H-0415,Sunny Valley,1479 sqft,4,4,1963,2000,8,439904.47060537734
H-0520,Maplewood,1595,2,3,1977,2004,4,
H-1758,Golden Ridge,1445,4,3,2016,2015,9,643182.9371124676
H-1549,Maplewood,1130,7,4,1967,1996,8,356350.03036921757
H-0799,Industrial District,2311,5,4,2023,2017,3,412662.34620454593
H-1550,Industrial District,838,3,1,2016,2024,3,195542.620359779
H-1916,Swamp Bottom,1530 sqft,6,3,1967,1999,8,194189.92523276623
H-0603,Golden Ridge,3076,3,3,1976,1995,7,1087504.173922078
H-1545,Maplewood,1849,6,2,1981,1990,9,433392.3221689401
H-0831,Maplewood,"1,257",5,1,2012,1994,1,323128.30172121397
H-0725,Swamp Bottom,3005,3,1,1971,1991,2,324224.2971463112
H-0952,Sunny Valley,2349,5,1,2008,2020,2,600982.8905782623
H-1889,Industrial District,1787 sqft,6,1,1982,1992,10,384780.72317711316
H-1571,Sunny Valley,2972,2,4,1971,2022,10,785824.4331095598
H-1807,Sunny Valley,2103 sqft,5,3,1973,2009,2,542851.5652492581
H-1106,Sunny Valley,3147,5,3,1964,1990,1,787103.7234166455
H-1765,Sunny Valley,"2,180",4,1,2015,2024,2,577821.5289719052
H-0721,Sunny Valley,1203,7,1,1994,2013,7,471619.11235288327
H-0681,Sunny Valley,1067 sqft,4,2,2018,2000,5,346474.25814372266
H-0860,Swamp Bottom,1164,4,3,1974,2012,10,158769.47652653197
H-1762,Golden Ridge,2376,5,3,1989,2024,4,821444.8805856091
H-0521,Sunny Valley,"2,120",3,3,1965,1993,5,
H-0346,Maplewood,3081,7,3,1996,2001,9,746471.3943894468
H-0835,Sunny Valley,"1,998",4,4,1964,2012,6,540157.4677935358
H-0875,Sunny Valley,1387,6,3,1975,2004,8,478146.44212218025
H-0237,Golden Ridge,369 sqft,4,1,1999,1996,1,265313.25339474436
H-0657,Sunny Valley,1926,3,2,1985,2007,8,525438.9508633477
H-0865,Maplewood,3414,6,3,1974,2003,4,707281.4754887206
H-1996,Industrial District,"1,026",5,2,1998,1995,6,233591.54940978347
H-0530,Swamp Bottom,1985 sqft,7,1,1995,1990,8,
H-0250,Sunny Valley,"2,055",2,4,1963,2022,10,626731.7254739208
H-0597,Sunny Valley,2680 sqft,6,4,2017,2023,3,
H-0713,Sunny Valley,"1,622",4,3,1974,1998,3,467446.6892806767
H-0402,Maplewood,"2,266",4,4,2001,1994,3,507809.5831351803
H-0401,Industrial District,1726 sqft,6,3,1996,2003,3,325809.296967506
H-1074,Industrial District,3121,2,2,1968,1995,1,522318.66827553103
H-1768,Sunny Valley,1245 sqft,3,1,1992,2007,7,379084.19599429116
H-0173,Swamp Botom,2406,5,3,1999,2008,10,710951.7147894631
H-0052,Gilden Ridge,2289 sqft,2,3,2012,2015,9,411104.90263624076
H-0949,Maplewood,2150,3,1,2023,2008,8,490816.2751640414
H-1359,Maplewood,"1,532",5,4,1965,2013,3,367264.93082600454
H-0392,Sunny Valley,"2,536",3,3,2017,1993,6,617521.0429579413
H-0652,Maplewood,814,5,3,1988,2024,4,234557.25023286437
H-0904,Sunny Valley,585 sqft,3,1,1963,2017,1,150008.7686650284
H-0953,Industrial District,1195,4,4,2014,2010,3,243542.46636918222
H-1367,Industrial District,1768 sqft,2,1,1983,1991,6,286684.82752969925
H-0083,Gilden Ridge,1703,3,4,2009,2017,10,666708.854990928
H-0834,Maplewood,1508,4,4,2016,2008,6,389906.41076632164
H-0935,Sunny Valley,3014,5,3,2008,1992,1,763085.2251971051
H-0285,Golden Ridge,2408,7,3,1975,2006,3,885573.7790480348
H-1823,Swamp Bottom,1447,3,4,1996,1995,6,177843.58968946867
H-0207,Maplewood,1196 sqft,7,3,1960,2022,1,290074.3786660887
H-0081,Gilden Ridge,1018 sqft,7,4,1969,1994,4,306248.4387703937
H-1788,Golden Ridge,"1,259",2,3,2009,2017,4,434766.759859675
H-0816,Maplewood,2330,6,2,1995,2009,6,569021.9805204011
H-0778,Maplewood,928,2,2,2020,1990,3,222242.97050331326
H-0886,Maplewood,280 sqft,5,2,1987,1998,1,142770.13743183593
H-0999,Sunny Valley,1762,7,3,1997,2007,10,593913.4507458892
H-1714,Golden Ridge,900,4,4,1971,2009,6,480748.9129846835
H-1463,Maplewood,"3,279",7,2,1977,2003,6,781825.6273169674
H-1160,Swamp Bottom,"2,170",3,2,1999,2000,2,230162.9517374202
H-0986,Maplewood,2943,2,3,2020,1990,4,625573.2628963832
H-1560,Sunny Valley,"1,904",6,4,2009,2017,10,613257.3510910262
H-0472,Golden Ridge,652,2,3,1990,2002,9,389066.0453422912
H-0918,Swamp Bottom,2789,2,2,2004,2022,2,276180.29165401007
H-1995,Maplewood,"2,929",4,2,1967,2020,5,641211.0717975391
H-1708,Maplewood,653,6,3,2000,2001,8,280629.33498073154
H-1860,Swamp Bottom,399,3,4,2022,2019,2,73706.31504586287
H-0274,Maplewood,1660 sqft,7,2,2009,2011,3,460290.21311522013
H-0515,Golden Ridge,1552,2,3,1981,1999,5,
H-0314,Swamp Bottom,2946,3,2,2005,2019,5,306176.78684841393
H-0252,Swamp Bottom,1476 sqft,6,3,2020,1995,2,184298.89895921803
H-1607,Swamp Bottom,2025,4,2,1971,1997,6,276951.32270871976
H-0205,Golden Ridge,834 sqft,2,3,1994,2013,4,292217.32315543486
H-1331,Maplewood,1325 sqft,6,2,1995,2004,9,362406.4291258409
H-1712,Swamp Bottom,1483 sqft,6,1,1972,2014,1,184004.00515876675
H-1243,Swamp Bottom,"1,559",5,3,1985,2017,9,213817.41385686374
H-1191,Maplewood,"1,609",6,1,1994,2006,9,488592.91385118954
H-0824,Maplewood,2182,5,4,2020,1990,10,595474.9467922675
H-1269,Sunny Valley,"1,853",2,2,2005,2012,10,495461.74389245384
H-1988,Sunny Valley,1968 sqft,4,2,2014,2018,6,547748.7523249077
H-1119,Golden Ridge,3138,7,4,1997,1992,1,1148531.1972363181
H-1626,Sunny Valley,"2,915",4,4,1962,1991,9,801329.9006808808
H-1840,Sunny Valley,713 sqft,3,4,1996,2005,7,250640.77681179394
H-1320,Sunny Valley,1861,6,2,2023,2013,8,552671.244321311
H-1399,Maplewood,2175 sqft,6,1,1985,2020,8,548448.1141893569
H-0900,Sunny Valley,2312,3,1,2013,2020,6,648961.8804473185
H-1434,Golden Ridge,3278,5,3,1988,1998,10,1188666.5497408619
H-0842,Sunny Valley,1740,6,3,2017,1990,8,601944.2494466963
H-0543,Maplewood,3027 sqft,6,3,2000,2000,9,
H-0263,Maplewood,1855 sqft,5,3,2011,2007,9,534091.7614438154
H-0175,Swamp Botom,3017 sqft,7,2,2001,2007,6,798772.3800455201
H-1528,Swamp Bottom,"2,486",5,2,2014,2010,6,243453.31855165953
H-0403,Swamp Bottom,2749,5,1,2016,2000,7,292257.0874614913
H-1603,Sunny Valley,2103,7,2,1981,1997,5,585846.629012011
H-0610,Golden Ridge,3857,7,3,1988,2018,3,1269972.8411985093
H-0495,Sunny Valley,2360,6,3,2013,2023,1,604654.2824927224
H-0699,Maplewood,"2,249",4,3,1965,2002,3,535687.720065246
H-1183,Industrial District,1903,6,4,2000,1998,7,368896.69111503765
H-1285,Maplewood,1895,2,4,1993,2003,3,390777.247187738
H-1510,Swamp Bottom,"1,020",4,3,2003,1990,9,198339.42483840155
H-0513,Swamp Bottom,"1,457",5,4,2009,2018,10,
H-1575,Golden Ridge,1855,6,4,1964,2012,8,747591.8529980131
H-0019,Gilden Ridge,3421 sqft,2,1,1961,2002,9,836120.8670572692
H-1983,Maplewood,2956,6,3,1994,2011,6,659569.8067102315
H-0082,Gilden Ridge,"2,542",2,2,2015,2002,3,606319.5337315126
H-0144,Swamp Botom,"1,566",7,2,1996,2003,10,517255.62626501627
H-0599,Golden Ridge,783,2,1,1977,2019,9,
H-1432,Maplewood,2966,2,3,2006,2011,10,616047.7170083827
H-1079,Industrial District,2563 sqft,2,3,1994,2016,8,451959.9720312652
H-1630,Swamp Bottom,988,7,4,1978,2017,4,145413.91200377207
H-1171,Industrial District,2369 sqft,7,1,1995,2005,7,446881.71706449153
H-1246,Golden Ridge,2198 sqft,3,4,2006,2006,7,848305.1791973874
H-1666,Sunny Valley,1614,3,4,2012,2011,10,504843.9033869796
H-0979,Maplewood,"1,966",5,1,1969,2015,1,414240.52206300036
H-1035,Maplewood,2973,7,2,2003,1993,7,715895.7568919782
H-1692,Sunny Valley,3065 sqft,4,1,1961,2016,2,758402.1376105862
H-1095,Sunny Valley,2413,2,4,2008,2002,1,541745.9404648253
H-1220,Industrial District,393,4,2,1977,1998,8,225338.79513448113
H-1874,Maplewood,1335 sqft,5,3,2009,1999,3,341234.5819208514
H-0637,Sunny Valley,2323 sqft,4,1,2011,2023,5,601903.7155406787
H-0984,Maplewood,929,4,2,2019,1993,2,274985.26976838853
H-1440,Industrial District,1034 sqft,2,4,1961,2007,8,191588.01099883308
H-0600,Sunny Valley,2152 sqft,5,2,2014,1998,4,626176.10912694
H-0796,Industrial District,"1,533",3,1,2016,2005,3,251654.15800674105
H-0085,Gilden Ridge,2010 sqft,3,3,2019,2024,4,540597.0252474088
H-0497,Golden Ridge,1797 sqft,4,3,1985,2022,3,635290.923266851
H-0483,Maplewood,538,4,4,2003,2010,8,223730.39442133013
H-0751,Industrial District,946,3,2,1970,2014,6,210751.1758045369
H-0470,Golden Ridge,"2,169",4,2,2001,2002,7,818447.2956254828
H-0308,Swamp Bottom,2877,7,2,1983,2015,2,358474.3871130422
H-1735,Swamp Bottom,2897 sqft,4,3,2009,2002,4,324676.18456596864
H-0675,Industrial District,1287,3,3,2007,2003,2,261543.97357402087
H-1679,Maplewood,2034 sqft,3,1,1962,2012,5,462993.6821471338
H-1443,Sunny Valley,2064,4,2,2018,2001,4,484033.14248207107
H-0587,Golden Ridge,1165,4,1,2004,1997,2,
H-0903,Maplewood,3481,3,2,1971,1999,8,716060.4578650725
H-1334,Industrial District,1699,6,4,2000,1994,10,427259.1066273029
H-0852,Sunny Valley,3122 sqft,7,4,1991,2004,10,921848.7232125433
H-0289,Maplewood,3163 sqft,4,1,2014,2009,4,631904.9877331852
H-1044,Swamp Bottom,1389,3,1,1979,1992,2,153744.60474196228
H-0048,Gilden Ridge,3053,5,2,2004,2022,9,675645.7130668798
H-1530,Sunny Valley,2089 sqft,2,4,1962,1999,10,614015.2684768783
H-1828,Swamp Bottom,3149,2,3,2013,1999,8,361672.73872662
H-1650,Golden Ridge,"1,882",7,4,2019,2018,2,725710.9919130568
H-0532,Industrial District,"1,895",4,1,2023,1990,4,
H-0380,Golden Ridge,2568,5,1,1973,1994,4,922108.8819272675
H-0476,Golden Ridge,"3,252",4,2,1997,2022,7,1105266.7919247176
H-0505,Sunny Valley,2969,3,1,2003,2015,6,
H-0372,Golden Ridge,1969,4,4,1972,2007,7,790786.8257510641
H-0420,Swamp Bottom,310,7,2,1992,2018,5,62883.065816035014
H-0260,Maplewood,1761,5,3,1972,2009,6,456594.25891944696
