House_ID,Neighborhood,Square_Feet,Bedrooms,Bathrooms,Year_Built,Year_Renovated,Condition,Sold_Price,Effective_Age,Neighborhood_Tier
H-1138,Maplewood,244,4,3,2003,2014,6,125747.17259140535,12,3
H-1416,Golden Ridge,1698,6,3,2014,2021,10,774758.7882174433,5,5
H-1158,Swamp Bottom,764,7,2,2014,2018,6,193103.79026722448,8,1
H-0772,Golden Ridge,2481,4,4,1965,2007,4,853753.5424415362,19,5
H-1055,Sunny Valley,2654,2,1,1995,2016,7,656808.0932491446,10,4
H-1770,Maplewood,2206,7,1,1992,2024,10,631920.7195629629,2,3
H-0381,Maplewood,3257,4,3,1967,2000,6,706615.0734482495,26,3
H-0212,Maplewood,1910,5,1,1978,2020,7,512706.2443354846,6,3
H-0174,Swamp Bottom,2425,4,1,1990,2020,6,567508.7849942985,6,1
H-0867,Sunny Valley,2030,2,4,1963,1990,1,532893.2975648863,36,4
H-1903,Golden Ridge,1406,6,2,1983,1991,5,602659.5386855464,35,5
H-1361,Sunny Valley,2201,6,2,1992,2012,5,674692.0095369618,14,4
H-1814,Golden Ridge,2973,6,2,1973,2003,3,1030271.680616447,23,5
H-0496,Maplewood,1996,2,3,1998,1999,9,501729.26446970616,27,3
H-0760,Sunny Valley,983,4,4,1998,1998,2,288304.2123710969,28,4
H-0248,Industrial District,2028,4,1,1961,1998,10,439797.5551432136,28,2
H-0812,Golden Ridge,1662,4,4,2000,2011,6,691047.2639023096,15,5
H-1658,Sunny Valley,2399,2,2,1983,1999,6,595023.9055089009,27,4
H-0578,Maplewood,1452,5,3,1974,2019,4,456594.26,7,3
H-1747,Sunny Valley,2768,2,3,1996,2014,5,644879.0930499276,12,4
H-0735,Swamp Bottom,1040,6,2,1963,2022,10,192159.55283749555,4,1
H-0411,Industrial District,2852,7,3,1977,2015,10,542402.7052498397,11,2
H-1725,Golden Ridge,1829,5,2,1991,2012,6,713711.770037231,14,5
H-0268,Sunny Valley,1149,4,2,1999,2018,5,428193.9569484355,8,4
H-0811,Swamp Bottom,2015,7,4,1969,2009,1,252418.49066650297,17,1
H-1827,Industrial District,1083,2,2,1979,2012,2,193043.3559458124,14,2
H-0214,Maplewood,1052,4,2,1984,2002,8,295974.5086416543,24,3
H-0770,Golden Ridge,3406,5,2,1992,2003,5,1176132.6505835445,23,5
H-0973,Sunny Valley,1940,5,2,1978,2001,8,580755.2670162118,25,4
H-1684,Golden Ridge,1463,2,4,1990,2002,1,430806.2772195151,24,5
H-0968,Maplewood,1519,2,3,1995,2004,9,314169.11745725333,22,3
H-0493,Sunny Valley,2391,5,1,1975,2016,1,626459.1669878907,10,4
H-0838,Maplewood,1330,5,3,2005,2013,5,347128.6532722666,13,3
H-1701,Sunny Valley,1661,6,1,2020,2021,1,487649.0771439396,5,4
H-0616,Golden Ridge,2495,3,4,1974,1996,1,794979.2637492117,30,5
H-1796,Maplewood,2403,5,4,1984,2021,4,548319.0116761778,5,3
H-0090,Golden Ridge,2153,7,2,1997,2002,9,869314.9080742392,24,5
H-0800,Maplewood,2354,3,1,1992,2016,9,589276.630271498,10,3
H-1993,Golden Ridge,3314,7,2,1970,2005,10,1250262.409000017,21,5
H-0374,Golden Ridge,3602,2,3,1991,1993,8,1205930.5330248834,33,5
H-0913,Sunny Valley,1395,6,1,2002,2012,8,505518.1897915681,14,4
H-0723,Maplewood,1451,4,2,1973,2002,1,348437.3689519901,24,3
H-1307,Swamp Bottom,1668,3,4,1992,2014,2,200407.39110551545,12,1
H-1819,Sunny Valley,485,7,2,1984,2022,6,272931.3091095139,4,4
H-1793,Maplewood,454,6,4,1965,1990,1,139711.11250893975,36,3
H-0288,Sunny Valley,1634,4,4,1994,2005,10,496361.3090473067,21,4
H-0280,Swamp Bottom,1328,5,3,2014,2017,10,239043.2458066425,9,1
H-0783,Sunny Valley,1641,4,2,2018,2018,8,479313.0875527648,8,4
H-0873,Sunny Valley,2868,6,2,1999,2012,2,707679.3900392328,14,4
H-0920,Swamp Bottom,3404,2,3,1987,2011,9,351966.86687762203,15,1
H-0765,Maplewood,1791,7,3,1985,1997,10,465754.91912297904,29,3
H-0716,Swamp Bottom,2141,5,4,1985,2009,10,292422.1462303541,17,1
H-1636,Sunny Valley,2143,3,1,1971,2007,9,590561.3652510521,19,4
H-1465,Golden Ridge,1081,5,4,2021,2021,5,498625.58821826335,5,5
H-1646,Golden Ridge,1472,7,3,2005,2012,7,697759.276400823,14,5
H-1553,Swamp Bottom,2864,7,4,1978,2018,5,353308.7889313744,8,1
H-1332,Sunny Valley,2302,5,3,1993,1996,9,668191.147327261,30,4
H-0830,Sunny Valley,2933,7,3,1993,1997,9,823987.4402462627,29,4
H-0754,Golden Ridge,2419,4,2,1967,1991,1,823490.9689818363,35,5
H-0755,Swamp Bottom,2649,2,1,1995,2011,6,284098.8294081189,15,1
H-1514,Sunny Valley,3277,5,3,1961,2002,6,860304.4571608163,24,4
H-0382,Maplewood,2383,2,3,1990,2013,8,544567.895427196,13,3
H-1190,Golden Ridge,2657,4,1,2002,2004,6,928048.7024992768,22,5
H-1180,Industrial District,1588,4,1,1971,1991,7,314172.1455571043,35,2
H-0246,Sunny Valley,924,4,1,1979,2019,3,327231.3542545874,7,4
H-1816,Sunny Valley,2817,5,4,2012,2017,5,714748.1921635454,9,4
H-0011,Golden Ridge,2170,2,4,1986,2022,10,423466.7743631753,4,5
H-0974,Golden Ridge,2101,6,1,2003,2008,7,805743.8577569833,18,5
H-1559,Industrial District,1614,2,2,1999,2021,8,255095.27830498,5,2
H-0183,Swamp Bottom,2096,5,3,1980,1996,4,246110.3497917106,30,1
H-0829,Maplewood,1235,7,4,1983,2014,5,345610.4508490897,12,3
H-0910,Maplewood,1164,2,3,1993,2020,7,321553.049492339,6,3
H-1495,Maplewood,2564,2,4,1992,2016,2,499586.2886138845,10,3
H-1063,Sunny Valley,912,5,4,1983,2000,5,317665.0303082107,26,4
H-1737,Sunny Valley,1571,3,1,1974,2005,2,441870.7765329176,21,4
H-1385,Sunny Valley,1101,7,4,1975,2009,8,468591.2692088221,17,4
H-1594,Maplewood,2487,4,1,2002,2009,3,542160.4285487093,17,3
H-1439,Maplewood,3130,7,1,2005,2008,5,710646.4568208308,18,3
H-1155,Swamp Bottom,1515,5,3,1983,1996,1,171203.72691289117,30,1
H-1204,Maplewood,590,2,4,2000,2009,6,210508.44850116048,17,3
H-1500,Maplewood,1707,2,1,1989,2023,3,367433.6921563086,3,3
H-0157,Swamp Bottom,1922,4,2,1985,2019,1,189975.7855923113,7,1
H-1000,Sunny Valley,2923,7,2,1990,2002,8,822907.5411465142,24,4
H-0477,Maplewood,330,4,4,1973,2008,8,180525.46491879405,18,3
H-1502,Golden Ridge,2503,4,3,1985,2006,1,816809.3348414701,20,5
H-0017,Golden Ridge,2949,3,3,1999,2021,10,0.0,5,5
H-0624,Maplewood,1460,3,4,2002,2012,10,398409.2564710488,14,3
H-0163,Swamp Bottom,1677,5,4,2002,2016,10,455889.97078435536,10,1
H-1363,Maplewood,2292,5,1,1961,2022,3,526637.7856167123,4,3
H-1716,Golden Ridge,3036,3,4,1984,1993,7,1029921.8127499132,33,5
H-0135,Swamp Bottom,959,5,1,1978,2009,6,390062.0902492189,17,1
H-1315,Maplewood,1874,2,1,1970,2023,1,383592.47962637705,3,3
H-0944,Sunny Valley,1957,5,3,2014,2021,10,595678.8316001762,5,4
H-0950,Maplewood,469,6,1,1990,2020,3,197377.10633042303,6,3
H-0872,Maplewood,1438,6,3,1982,2006,7,401762.67820964655,20,3
H-1984,Golden Ridge,1563,4,1,2012,2023,1,549751.971913518,3,5
H-1034,Golden Ridge,1903,3,3,1998,2011,8,684733.0148984095,15,5
H-0540,Industrial District,1050,4,4,1994,2023,1,326088.55,3,2
H-0965,Sunny Valley,1971,5,4,1996,2017,8,557020.5625746261,9,4
H-1452,Swamp Bottom,1522,6,3,1988,1992,10,210233.71626418,34,1
H-0653,Maplewood,1977,6,2,1965,1991,2,455156.1138986842,35,3
H-0517,Swamp Bottom,2181,5,3,1960,1990,5,264143.51,36,1
H-1397,Sunny Valley,1723,5,4,1966,1997,3,515097.6823235796,29,4
H-0871,Sunny Valley,509,6,2,1996,2015,6,309079.82045032847,11,4
H-1231,Sunny Valley,2937,7,3,1987,2001,6,785071.147885921,25,4
H-1766,Maplewood,1500,6,3,1982,2005,5,394563.90161550057,21,3
H-0762,Sunny Valley,1886,2,1,1966,2012,10,513292.53246141,14,4
H-0544,Maplewood,2148,7,4,2000,2017,10,486218.04,9,3
H-0794,Golden Ridge,974,7,4,1984,2012,8,526194.7570288269,14,5
H-0415,Sunny Valley,1479,4,4,1963,2000,8,439904.4706053773,26,4
H-0520,Maplewood,1595,2,3,1977,2004,4,416973.39,22,3
H-1758,Golden Ridge,1445,4,3,2015,2016,9,643182.9371124676,10,5
H-1549,Maplewood,1130,7,4,1967,1996,8,356350.0303692176,30,3
H-0799,Industrial District,2311,5,4,2017,2023,3,412662.34620454593,3,2
H-1550,Industrial District,838,3,1,2016,2024,3,195542.620359779,2,2
H-1916,Swamp Bottom,1530,6,3,1967,1999,8,194189.92523276625,27,1
H-0603,Golden Ridge,3076,3,3,1976,1995,7,1087504.173922078,31,5
H-1545,Maplewood,1849,6,2,1981,1990,9,433392.3221689401,36,3
H-0831,Maplewood,1257,5,1,1994,2012,1,323128.301721214,14,3
H-0725,Swamp Bottom,3005,3,1,1971,1991,2,324224.2971463112,35,1
H-0952,Sunny Valley,2349,5,1,2008,2020,2,600982.8905782623,6,4
H-1889,Industrial District,1787,6,1,1982,1992,10,384780.7231771132,34,2
H-1571,Sunny Valley,2972,2,4,1971,2022,10,785824.4331095598,4,4
H-1807,Sunny Valley,2103,5,3,1973,2009,2,542851.5652492581,17,4
H-1106,Sunny Valley,3147,5,3,1964,1990,1,787103.7234166455,36,4
H-1765,Sunny Valley,2180,4,1,2015,2024,2,577821.5289719052,2,4
H-0721,Sunny Valley,1203,7,1,1994,2013,7,471619.11235288327,13,4
H-0681,Sunny Valley,1067,4,2,2000,2018,5,346474.25814372266,8,4
H-0860,Swamp Bottom,1164,4,3,1974,2012,10,158769.47652653197,14,1
H-1762,Golden Ridge,2376,5,3,1989,2024,4,821444.8805856091,2,5
H-0521,Sunny Valley,2120,3,3,1965,1993,5,563564.01,33,4
H-0346,Maplewood,3081,7,3,1996,2001,9,746471.3943894468,25,3
H-0835,Sunny Valley,1998,4,4,1964,2012,6,540157.4677935358,14,4
H-0875,Sunny Valley,1387,6,3,1975,2004,8,478146.44212218025,22,4
H-0237,Golden Ridge,369,4,1,1996,1999,1,265313.2533947444,27,5
H-0657,Sunny Valley,1926,3,2,1985,2007,8,525438.9508633477,19,4
H-0865,Maplewood,3414,6,3,1974,2003,4,707281.4754887206,23,3
H-1996,Industrial District,1026,5,2,1995,1998,6,233591.54940978347,28,2
H-0530,Swamp Bottom,1985,7,1,1990,1995,8,269065.08,31,1
H-0250,Sunny Valley,2055,2,4,1963,2022,10,626731.7254739208,4,4
H-0597,Sunny Valley,2680,6,4,2017,2023,3,588002.79,3,4
H-0713,Sunny Valley,1622,4,3,1974,1998,3,467446.6892806767,28,4
H-0402,Maplewood,2266,4,4,1994,2001,3,507809.5831351803,25,3
H-0401,Industrial District,1726,6,3,1996,2003,3,325809.296967506,23,2
H-1074,Industrial District,3121,2,2,1968,1995,1,522318.66827553103,31,2
H-1768,Sunny Valley,1245,3,1,1992,2007,7,379084.1959942912,19,4
H-0173,Swamp Bottom,2406,5,3,1999,2008,10,710951.7147894631,18,1
H-0052,Golden Ridge,2289,2,3,2012,2015,9,411104.9026362408,11,5
H-0949,Maplewood,2150,3,1,2008,2023,8,490816.2751640414,3,3
H-1359,Maplewood,1532,5,4,1965,2013,3,367264.9308260045,13,3
H-0392,Sunny Valley,2536,3,3,1993,2017,6,617521.0429579413,9,4
H-0652,Maplewood,814,5,3,1988,2024,4,234557.2502328644,2,3
H-0904,Sunny Valley,585,3,1,1963,2017,1,150008.7686650284,9,4
H-0953,Industrial District,1195,4,4,2010,2014,3,243542.46636918225,12,2
H-1367,Industrial District,1768,2,1,1983,1991,6,286684.82752969925,35,2
H-0083,Golden Ridge,1703,3,4,2009,2017,10,666708.854990928,9,5
H-0834,Maplewood,1508,4,4,2008,2016,6,389906.4107663216,10,3
H-0935,Sunny Valley,3014,5,3,1992,2008,1,763085.2251971051,18,4
H-0285,Golden Ridge,2408,7,3,1975,2006,3,885573.7790480348,20,5
H-1823,Swamp Bottom,1447,3,4,1995,1996,6,177843.58968946867,30,1
H-0207,Maplewood,1196,7,3,1960,2022,1,290074.3786660887,4,3
H-0081,Golden Ridge,1018,7,4,1969,1994,4,306248.4387703937,32,5
H-1788,Golden Ridge,1259,2,3,2009,2017,4,434766.759859675,9,5
H-0816,Maplewood,2330,6,2,1995,2009,6,569021.9805204011,17,3
H-0778,Maplewood,928,2,2,1990,2020,3,222242.9705033133,6,3
H-0886,Maplewood,280,5,2,1987,1998,1,142770.13743183593,28,3
H-0999,Sunny Valley,1762,7,3,1997,2007,10,593913.4507458892,19,4
H-1714,Golden Ridge,900,4,4,1971,2009,6,480748.9129846835,17,5
H-1463,Maplewood,3279,7,2,1977,2003,6,781825.6273169674,23,3
H-1160,Swamp Bottom,2170,3,2,1999,2000,2,230162.9517374202,26,1
H-0986,Maplewood,2943,2,3,1990,2020,4,625573.2628963832,6,3
H-1560,Sunny Valley,1904,6,4,2009,2017,10,613257.3510910262,9,4
H-0472,Golden Ridge,652,2,3,1990,2002,9,389066.0453422912,24,5
H-0918,Swamp Bottom,2789,2,2,2004,2022,2,276180.29165401007,4,1
H-1995,Maplewood,2929,4,2,1967,2020,5,641211.0717975391,6,3
H-1708,Maplewood,653,6,3,2000,2001,8,280629.33498073154,25,3
H-1860,Swamp Bottom,399,3,4,2019,2022,2,73706.31504586287,4,1
H-0274,Maplewood,1660,7,2,2009,2011,3,460290.2131152201,15,3
H-0515,Golden Ridge,1552,2,3,1981,1999,5,455032.01,27,5
H-0314,Swamp Bottom,2946,3,2,2005,2019,5,306176.78684841393,7,1
H-0252,Swamp Bottom,1476,6,3,1995,2020,2,184298.89895921803,6,1
H-1607,Swamp Bottom,2025,4,2,1971,1997,6,276951.32270871976,29,1
H-0205,Golden Ridge,834,2,3,1994,2013,4,292217.32315543486,13,5
H-1331,Maplewood,1325,6,2,1995,2004,9,362406.4291258409,22,3
H-1712,Swamp Bottom,1483,6,1,1972,2014,1,184004.00515876675,12,1
H-1243,Swamp Bottom,1559,5,3,1985,2017,9,213817.4138568637,9,1
H-1191,Maplewood,1609,6,1,1994,2006,9,488592.9138511896,20,3
H-0824,Maplewood,2182,5,4,1990,2020,10,595474.9467922675,6,3
H-1269,Sunny Valley,1853,2,2,2005,2012,10,495461.7438924538,14,4
H-1988,Sunny Valley,1968,4,2,2014,2018,6,547748.7523249077,8,4
H-1119,Golden Ridge,3138,7,4,1992,1997,1,1148531.197236318,29,5
H-1626,Sunny Valley,2915,4,4,1962,1991,9,801329.9006808808,35,4
H-1840,Sunny Valley,713,3,4,1996,2005,7,250640.77681179397,21,4
H-1320,Sunny Valley,1861,6,2,2013,2023,8,552671.244321311,3,4
H-1399,Maplewood,2175,6,1,1985,2020,8,548448.1141893569,6,3
H-0900,Sunny Valley,2312,3,1,2013,2020,6,648961.8804473185,6,4
H-1434,Golden Ridge,3278,5,3,1988,1998,10,1188666.549740862,28,5
H-0842,Sunny Valley,1740,6,3,1990,2017,8,601944.2494466963,9,4
H-0543,Maplewood,3027,6,3,2000,2000,9,509988.78,26,3
H-0263,Maplewood,1855,5,3,2007,2011,9,534091.7614438154,15,3
H-0175,Swamp Bottom,3017,7,2,2001,2007,6,798772.3800455201,19,1
H-1528,Swamp Bottom,2486,5,2,2010,2014,6,243453.31855165955,12,1
H-0403,Swamp Bottom,2749,5,1,2000,2016,7,292257.0874614913,10,1
H-1603,Sunny Valley,2103,7,2,1981,1997,5,585846.629012011,29,4
H-0610,Golden Ridge,3857,7,3,1988,2018,3,1269972.841198509,8,5
H-0495,Sunny Valley,2360,6,3,2013,2023,1,604654.2824927224,3,4
H-0699,Maplewood,2249,4,3,1965,2002,3,535687.720065246,24,3
H-1183,Industrial District,1903,6,4,1998,2000,7,368896.69111503765,26,2
H-1285,Maplewood,1895,2,4,1993,2003,3,390777.247187738,23,3
H-1510,Swamp Bottom,1020,4,3,1990,2003,9,198339.42483840155,23,1
H-0513,Swamp Bottom,1457,5,4,2009,2018,10,263199.03,8,1
H-1575,Golden Ridge,1855,6,4,1964,2012,8,747591.8529980131,14,5
H-0019,Golden Ridge,3421,2,1,1961,2002,9,836120.8670572692,24,5
H-1983,Maplewood,2956,6,3,1994,2011,6,659569.8067102315,15,3
H-0082,Golden Ridge,2542,2,2,2002,2015,3,606319.5337315126,11,5
H-0144,Swamp Bottom,1566,7,2,1996,2003,10,517255.62626501627,23,1
H-0599,Golden Ridge,783,2,1,1977,2019,9,671052.42,7,5
H-1432,Maplewood,2966,2,3,2006,2011,10,616047.7170083827,15,3
H-1079,Industrial District,2563,2,3,1994,2016,8,451959.9720312652,10,2
H-1630,Swamp Bottom,988,7,4,1978,2017,4,145413.91200377207,9,1
H-1171,Industrial District,2369,7,1,1995,2005,7,446881.71706449153,21,2
H-1246,Golden Ridge,2198,3,4,2006,2006,7,848305.1791973874,20,5
H-1666,Sunny Valley,1614,3,4,2011,2012,10,504843.9033869796,14,4
H-0979,Maplewood,1966,5,1,1969,2015,1,414240.5220630004,11,3
H-1035,Maplewood,2973,7,2,1993,2003,7,715895.7568919782,23,3
H-1692,Sunny Valley,3065,4,1,1961,2016,2,758402.1376105862,10,4
H-1095,Sunny Valley,2413,2,4,2002,2008,1,541745.9404648253,18,4
H-1220,Industrial District,393,4,2,1977,1998,8,225338.79513448116,28,2
H-1874,Maplewood,1335,5,3,1999,2009,3,341234.5819208514,17,3
H-0637,Sunny Valley,2323,4,1,2011,2023,5,601903.7155406787,3,4
H-0984,Maplewood,929,4,2,1993,2019,2,274985.26976838853,7,3
H-1440,Industrial District,1034,2,4,1961,2007,8,191588.01099883308,19,2
H-0600,Sunny Valley,2152,5,2,1998,2014,4,626176.10912694,12,4
H-0796,Industrial District,1533,3,1,2005,2016,3,251654.15800674105,10,2
H-0085,Golden Ridge,2010,3,3,2019,2024,4,540597.0252474088,2,5
